developer,n_repos,n_ecosystems,ecosystems,repos
dependabot[bot],98,39,"algorand, bancor, binance, blockchain, cardano, celer-network, celo, chainlink, chia, cosmos, dash, decentraland, dfinity, eos, ethereum, flow, general, gnosis, golem-network-tokens, hedera-hashgraph, holo, hyperledger, iota, lisk, maidsafecoin, nervos-network, nkn, omg, opensea, polkadot, polygon, singularitynet, solana, steem, synthetix, terra, the-graph, tools, uniswap","0xsequence/erc-1155, ChainSafe/ChainGuardian, ChainSafe/as-sha256, ChainSafe/chainbridge-ui, Chia-Network/bls-signatures, Chia-Network/chia-dev-tools, Chia-Network/pool-reference, Consensys/eventsea, Consensys/hyperledger-besu-ethers, EOSIO/eosio-reference-chrome-extension-authenticator-app, EOSIO/eosio-web-ide, FuelLabs/fuel-js, LiskHQ/lisk-sdk-examples, MetaMask/design-tokens, MetaMask/extension-provider, MetaMask/json-rpc-middleware-stream, MetaMask/nonce-tracker, MetaMask/rpc-errors, MetaMask/snap-simple-keyring, MetaMask/template-snap, MetaMask/template-snap-monorepo, MetaMask/test-dapp, MetaMask/web3-provider-engine, OffchainLabs/arbitrum-sdk, OffchainLabs/nitro-contracts, OffchainLabs/token-bridge-contracts, OpenZeppelin/cairo-contracts, ProjectOpenSea/seaport-gossip, Synthetixio/synthetix, Synthetixio/synthetix-website, Uniswap/sybil-interface, Uniswap/v1-interface, WalletConnect/WalletConnectSharp, alchemix-finance/v2-contracts, algorand/conduit, algorand/go-algorand, bancorprotocol/webapp, celer-network/celer-light-client, celo-org/celo-oracle, cosmos/ledger-cosmos, crypto-org-chain/chain-jslib, dappnode/DAppNodeSDK, dashpay/bls-signatures, decentraland/kernel, dfinity/gix-components, dfinity/hardware-wallet-cli, dfinity/ic-eth-starter, dfinity/ic-repl, dfinity/stable-structures, ethereum/hive, ethereum/remix, ethereum/remix-plugins-directory, ethersphere/bee-docs, flashbots/flashbots-writings-website, gnosis/gp-v2-contracts, gobitfly/eth2-beaconchain-explorer, golemfactory/yagna, graphprotocol/contracts, graphprotocol/graph-network-subgraph, hashgraph/hedera-sdk-js, holochain/holochain, hyperledger/aries-askar, hyperledger/aries-cloudagent-loadgenerator, hyperledger/fabric-chaincode-node, hyperledger/fabric-sdk-py, hyperledger/firefly-evmconnect, hyperledger/indy-besu, input-output-hk/catalyst-voices, iotaledger/firefly, ledgerwatch/erigon, maidsafe/safenetwork.tech, maidsafe/sn_browser, maticnetwork/bor, nervosnetwork/ckb-sdk-java, nervosnetwork/overlord, nknorg/nconnect, omgnetwork/web-wallet, onflow/flow-cli, onflow/vscode-cadence, pancakeswap/pancake-toolkit, paritytech/cachepot, paritytech/command-bot, paritytech/extended-parachain-template, paritytech/smoldot, paritytech/unsigned-varint, paritytech/wasm-instrument, rocket-pool/rocketpool-js, scaffold-eth/buidlguidl-v3, singnet/snet-cli, smartcontractkit/operator-ui, solana-labs/solana, status-im/status-desktop, steemit/condenser, subquery/subql, sushiswap/sushiswap-exchange, terra-money/hive-graph, terra-money/station-desktop, w3f/polkadot-validator-setup"
github-actions[bot],20,13,"cardano, chainlink, decentraland, dfinity, ethereum, gnosis, holo, iota, nervos-network, origin-protocol, polkadot, storj, tools","MetaMask/design-tokens, MetaMask/json-rpc-middleware-stream, MetaMask/nonce-tracker, MetaMask/rpc-errors, MetaMask/snap-simple-keyring, MetaMask/template-snap, NethermindEth/nethermind, OpenZeppelin/cairo-contracts, OriginProtocol/dshop, decentraland/kernel, dfinity/gix-components, ethereum/remix-plugins-directory, gnosis/gp-v2-contracts, holochain/holochain, input-output-hk/catalyst-voices, iotaledger/firefly, nervosnetwork/ckb-sdk-java, smartcontractkit/operator-ui, storj/uplink, subquery/subql"
omahs,14,9,"blockchain, cardano, chia, ethereum, golem-network-tokens, hedera-hashgraph, iota, monero, solana","Chia-Network/pool-reference, NethermindEth/eigenlayer, OffchainLabs/arbitrum-sdk, OpenZeppelin/cairo-contracts, ethereum/remix-workshops, ethersphere/bee-docs, golemfactory/yagna, hashgraph/hedera-sdk-js, input-output-hk/catalyst-voices, iotaledger/firefly, ledgerwatch/erigon-lib, monero-project/monero-site, solana-labs/solana-accountsdb-plugin-postgres, status-im/status-desktop"
dependabot-preview[bot],13,9,"aelf, bancor, chainlink, ethereum, general, gnosis, maidsafecoin, nervos-network, solana","AElfProject/AElf, ChainSafe/chainbridge-deploy, OffchainLabs/arbitrum-sdk, OffchainLabs/token-bridge-contracts, bancorprotocol/webapp, gnosis/gp-v2-contracts, maidsafe/sn_browser, nervosnetwork/ckb-sdk-java, paritytech/smoldot, smartcontractkit/operator-ui, solana-labs/example-move, solana-labs/obsolete-dontuse-example-webwallet, solana-labs/solana"
claude,9,6,"aave, dash, ethereum, flow, storj, the-graph","NethermindEth/nethermind, aave/protocol-subgraphs, dashpay/bls-signatures, ethereum/cryptography-research-website, flashbots/flashbots-writings-website, graphprotocol/contracts, ledgerwatch/erigon, onflow/flow-cli, storj/storj"
metamaskbot,9,1,tools,"MetaMask/design-tokens, MetaMask/extension-provider, MetaMask/metamask-desktop, MetaMask/nonce-tracker, MetaMask/rpc-errors, MetaMask/snap-simple-keyring, MetaMask/template-snap-monorepo, MetaMask/test-dapp, MetaMask/web3-provider-engine"
rekmarks,9,1,tools,"MetaMask/design-tokens, MetaMask/json-rpc-middleware-stream, MetaMask/metamask-desktop, MetaMask/nonce-tracker, MetaMask/rpc-errors, MetaMask/template-snap, MetaMask/template-snap-monorepo, MetaMask/test-dapp, MetaMask/web3-provider-engine"
legobeat,9,1,tools,"MetaMask/design-tokens, MetaMask/extension-provider, MetaMask/json-rpc-middleware-stream, MetaMask/metamask-desktop, MetaMask/nonce-tracker, MetaMask/rpc-errors, MetaMask/snap-simple-keyring, MetaMask/test-dapp, MetaMask/web3-provider-engine"
ryjones,8,2,"hedera-hashgraph, hyperledger","hashgraph/hedera-sdk-js, hyperledger/aries-askar, hyperledger/aries-cloudagent-loadgenerator, hyperledger/aries-framework-go-ext, hyperledger/fabric-chaincode-node, hyperledger/fabric-rfcs, hyperledger/fabric-sdk-py, hyperledger/firefly-evmconnect"
FrederikBolding,8,1,tools,"MetaMask/json-rpc-middleware-stream, MetaMask/metamask-desktop, MetaMask/rpc-errors, MetaMask/snap-simple-keyring, MetaMask/snaps-simulator, MetaMask/template-snap, MetaMask/template-snap-monorepo, MetaMask/test-dapp"
axic,7,3,"ethereum, polygon, tools","MetaMask/web3-provider-engine, ethereum/remix, ethereumjs/ethereumjs-tx, ethereumjs/node-devp2p-dpt, ewasm/sentinel-rs, maticnetwork/bor, trufflesuite/truffle-compile"
kumavis,7,2,"ethereum, tools","MetaMask/json-rpc-middleware-stream, MetaMask/metamask-desktop, MetaMask/snap-simple-keyring, MetaMask/test-dapp, MetaMask/web3-provider-engine, ethereumjs/ethereumjs-tx, ethereumjs/node-devp2p-dpt"
egonelbre,7,3,"ethereum, polygon, storj","ledgerwatch/erigon, maticnetwork/bor, prysmaticlabs/go-ssz, storj/drpc, storj/storj, storj/uplink, storj/whitepaper"
brianmcmichael,7,3,"ethereum, general, uniswap","Uniswap/sybil-interface, Uniswap/v1-interface, makerdao/dss-charter, makerdao/mcd-changelog, makerdao/optimism-dai-bridge, makerdao/osm, sushiswap/sushiswap-exchange"
Gudahtt,7,1,tools,"MetaMask/json-rpc-middleware-stream, MetaMask/metamask-desktop, MetaMask/nonce-tracker, MetaMask/rpc-errors, MetaMask/template-snap, MetaMask/test-dapp, MetaMask/web3-provider-engine"
pipermerriam,6,2,"ethereum, ethereum-classic","Consensys/eth-lightwallet, ethereum/asyncio-cancel-token, ethereum/ddht, ethereum/eth-utils, ethereum/snake-charmers-tactical-manual, ethereumclassic/classic-guide"
danfinlay,6,2,"ethereum, tools","Consensys/eth-lightwallet, MetaMask/extension-provider, MetaMask/metamask-desktop, MetaMask/rpc-errors, MetaMask/test-dapp, MetaMask/web3-provider-engine"
jwndlng,6,1,dfinity,"dfinity/gix-components, dfinity/hardware-wallet-cli, dfinity/ic-eth-starter, dfinity/ic-repl, dfinity/stable-structures, dfinity/vessel"
hwwhww,6,2,"ethereum, uniswap","Uniswap/sybil-interface, Uniswap/v1-interface, ethereum/asyncio-cancel-token, ethereum/beacon_chain, ethereum/eth-utils, sushiswap/sushiswap-exchange"
njgheorghita,6,1,ethereum,"ethereum/asyncio-cancel-token, ethereum/ddht, ethereum/eth-utils, ethereum/hive, ethereum/pytest-ethereum, ethereum/snake-charmers-tactical-manual"
